dir=0, s=0, x=00, y=xxxxxxxx
dir=0, s=0, x=a5, y=10100101
dir=0, s=1, x=a5, y=11010010
dir=0, s=2, x=a5, y=01101001
dir=0, s=3, x=a5, y=10110100
dir=0, s=4, x=a5, y=01011010
dir=0, s=5, x=a5, y=00101101
dir=0, s=6, x=a5, y=10010110
dir=0, s=7, x=a5, y=01001011
dir=0, s=0, x=a5, y=10100101
dir=1, s=0, x=a5, y=10100101
dir=1, s=1, x=a5, y=01001011
dir=1, s=2, x=a5, y=10010110
dir=1, s=3, x=a5, y=00101101
dir=1, s=4, x=a5, y=01011010
dir=1, s=5, x=a5, y=10110100
dir=1, s=6, x=a5, y=01101001
dir=1, s=7, x=a5, y=11010010
dir=1, s=0, x=a5, y=10100101
./tb/LDL_ring_shift_tb.sv:53: $finish called at 110 (1ns)
