VCD info: dumpfile dump.vcd opened for output.
VCD warning: $dumpvars: Package ($unit) is not dumpable with VCD.
     time : re  dout empty full count  we
        0 : 0    xx    x    x     x    0
        5 : 0    xx    1    0     0    0
       20 : 0    xx    1    0     0    1
       25 : 0    xx    1    0     1    1
       35 : 0    a0    0    0     2    1
       45 : 0    a0    0    0     3    1
       55 : 0    a0    0    0     4    1
       65 : 0    a0    0    0     5    1
       75 : 0    a0    0    0     6    1
       85 : 0    a0    0    0     7    1
       95 : 0    a0    0    0     8    1
      105 : 0    a0    0    0     9    1
      115 : 0    a0    0    0    10    1
      125 : 0    a0    0    0    11    1
      135 : 0    a0    0    0    12    1
      145 : 0    a0    0    0    13    1
      155 : 0    a0    0    0    14    1
      165 : 0    a0    0    0    15    1
      175 : 0    a0    0    1    16    1
      230 : 1    a0    0    1    16    0
      235 : 1    a0    0    0    15    0
      245 : 1    a1    0    0    14    0
      255 : 1    a2    0    0    13    0
      265 : 1    a3    0    0    12    0
      275 : 1    a4    0    0    11    0
      285 : 1    a5    0    0    10    0
      295 : 1    a6    0    0     9    0
      305 : 1    a7    0    0     8    0
      315 : 1    a8    0    0     7    0
      325 : 1    a9    0    0     6    0
      335 : 1    aa    0    0     5    0
      345 : 1    ab    0    0     4    0
      355 : 1    ac    0    0     3    0
      365 : 1    ad    0    0     2    0
      375 : 1    ae    0    0     1    0
      385 : 1    af    1    0     0    0
      450 : 1    af    1    0     0    1
      455 : 1    af    1    0     1    1
      465 : 1    b4    0    0     2    1
      475 : 1    b4    0    0     2    1
      485 : 1    b5    0    0     2    1
      495 : 1    b6    0    0     2    1
      505 : 1    b7    0    0     2    1
      515 : 1    b8    0    0     2    1
      525 : 1    b9    0    0     2    1
      535 : 1    ba    0    0     2    1
      545 : 1    bb    0    0     2    1
      555 : 1    bc    0    0     2    1
      565 : 1    bd    0    0     2    1
./tb/LDL_sfifo_tb.sv:80: $finish called at 570 (1ns)
