VCD info: dumpfile dump.vcd opened for output.
VCD warning: $dumpvars: Package ($unit) is not dumpable with VCD.
ocos=x, req=00000000, ready=1, bin=x, valid=x, ack=xxxxxxxx
ocos=0, req=00000000, ready=1, bin=0, valid=0, ack=00000000
ocos=0, req=10100101, ready=1, bin=0, valid=0, ack=00000000
ocos=0, req=10100101, ready=1, bin=2, valid=1, ack=00000100
ocos=0, req=10100101, ready=1, bin=5, valid=1, ack=00100000
ocos=0, req=10100101, ready=1, bin=7, valid=1, ack=10000000
ocos=0, req=10100101, ready=1, bin=0, valid=1, ack=00000001
ocos=0, req=10100101, ready=1, bin=2, valid=1, ack=00000100
ocos=0, req=10100101, ready=1, bin=5, valid=1, ack=00100000
ocos=0, req=10100101, ready=1, bin=7, valid=1, ack=10000000
ocos=0, req=00000000, ready=1, bin=7, valid=1, ack=10000000
ocos=0, req=00000000, ready=1, bin=7, valid=0, ack=00000000
ocos=0, req=11111111, ready=1, bin=7, valid=0, ack=00000000
ocos=3, req=11111111, ready=1, bin=3, valid=1, ack=00001000
ocos=3, req=11111111, ready=1, bin=7, valid=1, ack=10000000
ocos=3, req=11111111, ready=1, bin=3, valid=1, ack=00001000
ocos=3, req=00000000, ready=1, bin=3, valid=1, ack=00001000
ocos=3, req=00000000, ready=1, bin=3, valid=0, ack=00000000
ocos=3, req=11111111, ready=1, bin=3, valid=0, ack=00000000
ocos=2, req=11111111, ready=1, bin=6, valid=1, ack=01000000
ocos=2, req=11111111, ready=1, bin=2, valid=1, ack=00000100
ocos=2, req=11111111, ready=1, bin=6, valid=1, ack=01000000
ocos=2, req=00000000, ready=1, bin=6, valid=1, ack=01000000
ocos=2, req=00000000, ready=1, bin=6, valid=0, ack=00000000
ocos=2, req=11111111, ready=1, bin=6, valid=0, ack=00000000
ocos=1, req=11111111, ready=1, bin=1, valid=1, ack=00000010
ocos=1, req=11111111, ready=1, bin=5, valid=1, ack=00100000
ocos=1, req=11111111, ready=1, bin=1, valid=1, ack=00000010
ocos=1, req=00000000, ready=1, bin=1, valid=1, ack=00000010
ocos=1, req=00000000, ready=1, bin=1, valid=0, ack=00000000
./tb/LDL_rr_pri_v1_tb.sv:63: $finish called at 230 (1ns)
