VCD info: dumpfile dump.vcd opened for output.
VCD warning: $dumpvars: Package ($unit) is not dumpable with VCD.
req=00000000, ready=1, valid=x, bin=x, hot=xxxxxxxx
req=00000000, ready=1, valid=0, bin=0, hot=00000000
req=00000001, ready=1, valid=0, bin=0, hot=00000000
req=00000001, ready=1, valid=1, bin=0, hot=00000001
req=00000001, ready=1, valid=0, bin=0, hot=00000000
req=00000001, ready=1, valid=1, bin=0, hot=00000001
req=00000001, ready=1, valid=0, bin=0, hot=00000000
req=00000001, ready=1, valid=1, bin=0, hot=00000001
req=00000001, ready=1, valid=0, bin=0, hot=00000000
req=00000001, ready=1, valid=1, bin=0, hot=00000001
req=00000011, ready=1, valid=1, bin=0, hot=00000001
req=00000011, ready=1, valid=1, bin=1, hot=00000010
req=00000011, ready=1, valid=1, bin=0, hot=00000001
req=00000011, ready=1, valid=1, bin=1, hot=00000010
req=00000011, ready=1, valid=1, bin=0, hot=00000001
req=00000011, ready=1, valid=1, bin=1, hot=00000010
req=00000011, ready=1, valid=1, bin=0, hot=00000001
req=00000011, ready=1, valid=1, bin=1, hot=00000010
req=10100101, ready=1, valid=1, bin=1, hot=00000010
req=10100101, ready=1, valid=1, bin=2, hot=00000100
req=10100101, ready=1, valid=1, bin=5, hot=00100000
req=10100101, ready=1, valid=1, bin=7, hot=10000000
req=10100101, ready=1, valid=1, bin=0, hot=00000001
req=10100101, ready=1, valid=1, bin=2, hot=00000100
req=10100101, ready=1, valid=1, bin=5, hot=00100000
req=10100101, ready=1, valid=1, bin=7, hot=10000000
req=10100101, ready=0, valid=1, bin=7, hot=10000000
req=10100101, ready=1, valid=1, bin=7, hot=10000000
req=10100101, ready=1, valid=1, bin=0, hot=00000001
req=10100101, ready=1, valid=1, bin=2, hot=00000100
req=10100101, ready=1, valid=1, bin=5, hot=00100000
req=10100101, ready=1, valid=1, bin=7, hot=10000000
req=10100101, ready=1, valid=1, bin=0, hot=00000001
req=10100101, ready=1, valid=1, bin=2, hot=00000100
req=10100101, ready=1, valid=1, bin=5, hot=00100000
req=00000000, ready=1, valid=1, bin=5, hot=00100000
req=00000000, ready=1, valid=0, bin=5, hot=00000000
./tb/LDL_rr_v1_tb.sv:54: $finish called at 370 (1ns)
